benchmark,model,multi_turn,mode,unique_envs,token_observed_envs,turn_observed_envs,mean_token,p70_token,p30_token,mean_turn,p70_turn,p30_turn,file
sokoban,Qwen32B-Think,True,multi,512,0,512,,,,9.982422,10.000000,10.000000,sokoban_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
sokoban,Qwen32B-Instant,True,multi,512,0,512,,,,10.000000,10.000000,10.000000,sokoban_512_qwen32b_instant.json
sokoban,GPT5.2-Think,True,multi,512,0,512,,,,6.132812,8.000000,4.000000,sokoban_512_gpt5.2thinking_dialogues.json
sokoban,GPT5.2-Instant,True,multi,512,0,512,,,,6.796875,10.000000,5.000000,sokoban_512_gpt5.2instant_dialogues.json
webshop,Qwen32B-Think,True,multi,512,0,512,,,,8.541016,9.000000,9.000000,webshop_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
webshop,Qwen32B-Instant,True,multi,512,0,512,,,,9.000000,9.000000,9.000000,webshop_512_qwen32b-instant_dialogues.json
webshop,GPT5.2-Think,True,multi,512,512,512,13786.048828,14056.600000,11285.200000,5.265625,5.000000,5.000000,webshop_512_gpt5.2thinking_dialogues.json
webshop,GPT5.2-Instant,True,multi,512,512,512,10422.617188,11001.500000,10419.600000,4.751953,5.000000,5.000000,webshop_512_gpt5.2instant_dialogues.json
frozen-lake,Qwen32B-Think,True,multi,512,0,512,,,,10.000000,10.000000,10.000000,frozen-lake_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
frozen-lake,Qwen32B-Instant,True,multi,512,0,512,,,,10.000000,10.000000,10.000000,frozen-lake_qwen-32b-instant_rollout_eval_estimation_dialogues.json
frozen-lake,GPT5.2-Think,True,multi,512,512,512,4511.482422,4863.600000,1824.400000,3.898438,4.000000,2.000000,frozen_lake_512_gpt5.2thinking_dialogues.json
frozen-lake,GPT5.2-Instant,True,multi,512,512,512,2333.750000,3072.500000,1185.900000,2.828125,4.000000,2.000000,frozen_lake_512_gpt5.2instant_dialogues.json
deepcoder,Qwen32B-Think,False,single,512,0,512,,,,1.000000,1.000000,1.000000,deepcoder_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
deepcoder,Qwen32B-Instant,False,single,512,0,512,,,,1.000000,1.000000,1.000000,deepcoder_qwen-32b-instant_rollout_eval_estimation_dialogues.json
deepcoder,GPT5.2-Think,False,single,512,155,512,1575.767742,1932.800000,1088.400000,1.000000,1.000000,1.000000,deepcoder_512_gpt5.2thinking_dialogues.json
deepcoder,GPT5.2-Instant,False,single,512,402,512,1458.129353,1774.000000,1048.300000,1.000000,1.000000,1.000000,deepcoder_512_gpt5.2instant_dialogues.json
search-r1,Qwen32B-Think,True,multi,512,0,512,,,,4.798828,5.000000,5.000000,search-r1_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
search-r1,Qwen32B-Instant,True,multi,512,0,512,,,,5.000000,5.000000,5.000000,search-r1_qwen-32b-instant_rollout_eval_estimation_dialogues.json
search-r1,GPT5.2-Think,True,multi,512,512,512,2385.365234,2477.700000,1531.600000,2.429688,2.000000,2.000000,search_r1_512_gpt5.2thinking_dialogues.json
search-r1,GPT5.2-Instant,True,multi,512,512,512,1438.246094,1722.700000,1011.000000,2.447266,3.000000,2.000000,search_r1_512_gpt5.2instant_dialogues.json
gpqa-main,Qwen32B-Think,False,single,512,0,512,,,,1.000000,1.000000,1.000000,gpqa-main_qwen-32b-thinking_rollout_eval_estimation_dialogues.json
gpqa-main,Qwen32B-Instant,False,single,512,0,512,,,,1.000000,1.000000,1.000000,gpqa-main_qwen-32b-instant_rollout_eval_estimation_dialogues.json
gpqa-main,GPT5.2-Think,False,single,512,0,512,,,,1.000000,1.000000,1.000000,gpqa_main_512_gpt5.2thinking_dialogues.json
gpqa-main,GPT5.2-Instant,False,single,512,0,512,,,,1.000000,1.000000,1.000000,gpqa_main_512_gpt5.2instant_dialogues.json
